interval_start_utc,interval_end_utc,respondent,load,load_forecast,net_generation,total_interchange
2023-06-08 00:00:00+00:00,2023-06-09 00:00:00+00:00,PACE,5738.2941176470588235,6173.0769230769230769,5336.6111111111111111,-317.8823529411764706
2023-06-09 00:00:00+00:00,2023-06-10 00:00:00+00:00,PACE,5585.3125000000000000,5947.6875000000000000,5223.4500000000000000,-380.3750000000000000
2023-06-10 00:00:00+00:00,2023-06-11 00:00:00+00:00,PACE,5320.1052631578947368,5521.8000000000000000,4680.6250000000000000,-697.0714285714285714
2023-06-11 00:00:00+00:00,2023-06-12 00:00:00+00:00,PACE,5406.3684210526315789,5242.6153846153846154,5002.5294117647058824,-337.3846153846153846
2023-06-12 00:00:00+00:00,2023-06-13 00:00:00+00:00,PACE,5431.5294117647058824,5439.9444444444444444,5435.7647058823529412,-100.3000000000000000
2023-06-13 00:00:00+00:00,2023-06-14 00:00:00+00:00,PACE,5406.5384615384615385,5607.1111111111111111,4771.6250000000000000,-849.7500000000000000
2023-06-14 00:00:00+00:00,2023-06-15 00:00:00+00:00,PACE,5534.8947368421052632,5580.1538461538461538,5209.3636363636363636,-396.3076923076923077
2023-06-15 00:00:00+00:00,2023-06-16 00:00:00+00:00,PACE,5564.9333333333333333,5464.7500000000000000,4962.2222222222222222,-644.1111111111111111
2023-06-16 00:00:00+00:00,2023-06-17 00:00:00+00:00,PACE,5224.4666666666666667,5505.9000000000000000,5118.4444444444444444,-173.6000000000000000
2023-06-17 00:00:00+00:00,2023-06-18 00:00:00+00:00,PACE,5333.8888888888888889,5283.7500000000000000,5249.5384615384615385,-160.2500000000000000
2023-06-18 00:00:00+00:00,2023-06-19 00:00:00+00:00,PACE,5490.4285714285714286,5566.4444444444444444,5449.1333333333333333,-66.0625000000000000
2023-06-19 00:00:00+00:00,2023-06-20 00:00:00+00:00,PACE,5598.6363636363636364,5896.0000000000000000,5414.5000000000000000,-498.2500000000000000
2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,PACE,5319.0000000000000000,5814.6875000000000000,5028.0555555555555556,-333.4375000000000000
2023-06-21 00:00:00+00:00,2023-06-22 00:00:00+00:00,PACE,5532.0000000000000000,5480.7500000000000000,6209.0714285714285714,485.4666666666666667
2023-06-22 00:00:00+00:00,2023-06-23 00:00:00+00:00,PACE,5672.5000000000000000,5542.2727272727272727,5878.8000000000000000,84.8666666666666667
2023-06-23 00:00:00+00:00,2023-06-24 00:00:00+00:00,PACE,6067.0909090909090909,5715.2222222222222222,5839.1666666666666667,29.7222222222222222
2023-06-24 00:00:00+00:00,2023-06-25 00:00:00+00:00,PACE,5435.0833333333333333,5444.5294117647058824,5650.7500000000000000,51.4210526315789474
2023-06-25 00:00:00+00:00,2023-06-26 00:00:00+00:00,PACE,5546.6666666666666667,5561.2000000000000000,5276.6000000000000000,-553.8461538461538462
2023-06-26 00:00:00+00:00,2023-06-27 00:00:00+00:00,PACE,6161.2631578947368421,6110.1500000000000000,5822.9230769230769231,-526.4285714285714286
2023-06-27 00:00:00+00:00,2023-06-28 00:00:00+00:00,PACE,6409.5384615384615385,5998.3333333333333333,5887.3750000000000000,-351.7058823529411765
2023-06-28 00:00:00+00:00,2023-06-29 00:00:00+00:00,PACE,6288.2727272727272727,5978.2941176470588235,6570.4444444444444444,338.2500000000000000
2023-06-29 00:00:00+00:00,2023-06-30 00:00:00+00:00,PACE,6062.1578947368421053,6142.6875000000000000,6412.4666666666666667,178.5833333333333333
2023-06-30 00:00:00+00:00,2023-07-01 00:00:00+00:00,PACE,5962.4666666666666667,6064.0000000000000000,5927.5000000000000000,133.0500000000000000
2023-07-01 00:00:00+00:00,2023-07-02 00:00:00+00:00,PACE,6448.4444444444444444,6421.6428571428571429,6115.0588235294117647,-449.6842105263157895
2023-07-02 00:00:00+00:00,2023-07-03 00:00:00+00:00,PACE,6568.7500000000000000,6432.7142857142857143,6132.1111111111111111,-215.5333333333333333
2023-07-03 00:00:00+00:00,2023-07-04 00:00:00+00:00,PACE,6310.6428571428571429,7024.4375000000000000,6429.4666666666666667,-206.7857142857142857
2023-07-04 00:00:00+00:00,2023-07-05 00:00:00+00:00,PACE,6666.2857142857142857,6664.7777777777777778,5803.1538461538461538,-200.2777777777777778
2023-07-05 00:00:00+00:00,2023-07-06 00:00:00+00:00,PACE,6551.7058823529411765,6514.2941176470588235,6479.1176470588235294,193.6666666666666667
2023-07-06 00:00:00+00:00,2023-07-07 00:00:00+00:00,PACE,6505.6111111111111111,6674.0625000000000000,6696.1538461538461538,228.0625000000000000
2023-07-07 00:00:00+00:00,2023-07-08 00:00:00+00:00,PACE,6943.7857142857142857,6625.8235294117647059,6263.2380952380952381,-332.6875000000000000
2023-07-08 00:00:00+00:00,2023-07-09 00:00:00+00:00,PACE,6412.8571428571428571,6712.8888888888888889,6223.3181818181818182,-443.6111111111111111
2023-07-09 00:00:00+00:00,2023-07-10 00:00:00+00:00,PACE,6537.5454545454545455,6744.0000000000000000,5913.0714285714285714,-586.1111111111111111
2023-07-10 00:00:00+00:00,2023-07-11 00:00:00+00:00,PACE,7246.6000000000000000,7062.4000000000000000,6472.1875000000000000,-859.8823529411764706
2023-07-11 00:00:00+00:00,2023-07-12 00:00:00+00:00,PACE,6926.9000000000000000,7086.5000000000000000,6750.2222222222222222,-135.4500000000000000
2023-07-12 00:00:00+00:00,2023-07-13 00:00:00+00:00,PACE,7162.4545454545454545,7606.9411764705882353,7015.7647058823529412,210.3076923076923077
2023-07-13 00:00:00+00:00,2023-07-14 00:00:00+00:00,PACE,6995.3500000000000000,7043.5333333333333333,6724.4666666666666667,-105.2857142857142857
2023-07-14 00:00:00+00:00,2023-07-15 00:00:00+00:00,PACE,6971.4000000000000000,7004.4500000000000000,6883.1538461538461538,131.8888888888888889
2023-07-15 00:00:00+00:00,2023-07-16 00:00:00+00:00,PACE,6687.0666666666666667,7121.6666666666666667,6662.9285714285714286,322.2941176470588235
2023-07-16 00:00:00+00:00,2023-07-17 00:00:00+00:00,PACE,6783.2000000000000000,6904.1111111111111111,7337.8571428571428571,761.5789473684210526
2023-07-17 00:00:00+00:00,2023-07-18 00:00:00+00:00,PACE,7333.3636363636363636,7825.2380952380952381,7470.3333333333333333,-25.3333333333333333
2023-07-18 00:00:00+00:00,2023-07-19 00:00:00+00:00,PACE,6975.3684210526315789,7675.3500000000000000,6968.6666666666666667,-141.1538461538461538
2023-07-19 00:00:00+00:00,2023-07-20 00:00:00+00:00,PACE,6937.7058823529411765,7614.8000000000000000,7178.3636363636363636,257.3500000000000000
